transaction_id,transaction_date,order_date,required_date,ship_date,order_status,customer_id,customer_name,customer_age,customer_gender,customer_city,customer_country,product_id,product_name,product_category,product_subcategory,brand,original_price,discount_percent,final_price,quantity,payment_method,store_location,return_status,store_id,store_name,store_country,staff_id,staff_name
T300000,12/29/21,12/29/21,01/02/22,12/31/21,completed,C102243,Giovanni Barbieri,25,Male,Zurich,Switzerland,P200609,Tommy Jeans Comfort Short,Shorts,Athletic,Tommy Jeans,24.67,14.3,21.14,1,Credit Card,Store Branch,No,4,Store 4,Germany,16,Staff 16
T300000,12/29/21,12/29/21,01/02/22,12/31/21,completed,C102243,Giovanni Barbieri,25,Male,Zurich,Switzerland,P200609,Tommy Jeans Comfort Short,Shorts,Athletic,Tommy Jeans,24.67,14.3,21.14,1,Credit Card,Store Branch,No,4,Store 4,Germany,17,Staff 17
T300000,12/29/21,12/29/21,01/02/22,12/31/21,completed,C102243,Giovanni Barbieri,25,Male,Zurich,Switzerland,P200609,Tommy Jeans Comfort Short,Shorts,Athletic,Tommy Jeans,24.67,14.3,21.14,1,Credit Card,Store Branch,No,4,Store 4,Germany,18,Staff 18
T300000,12/29/21,12/29/21,01/02/22,12/31/21,completed,C102243,Giovanni Barbieri,25,Male,Zurich,Switzerland,P200609,Tommy Jeans Comfort Short,Shorts,Athletic,Tommy Jeans,24.67,14.3,21.14,1,Credit Card,Store Branch,No,4,Store 4,Germany,19,Staff 19
T300000,12/29/21,12/29/21,01/02/22,12/31/21,completed,C102243,Giovanni Barbieri,25,Male,Zurich,Switzerland,P200609,Tommy Jeans Comfort Short,Shorts,Athletic,Tommy Jeans,24.67,14.3,21.14,1,Credit Card,Store Branch,No,4,Store 4,Germany,20,Staff 20
T300001,12/30/23,12/30/23,01/09/24,01/04/24,completed,C101922,Diego Galli,26,Male,Antwerp,Belgium,P200274,Levi's Eco Dresse,Dresses,Maxi,Levi's,72.87,12.41,63.83,1,Credit Card,Online,No,5,Store 5,Spain,21,Staff 21
T300001,12/30/23,12/30/23,01/09/24,01/04/24,completed,C101922,Diego Galli,26,Male,Antwerp,Belgium,P200274,Levi's Eco Dresse,Dresses,Maxi,Levi's,72.87,12.41,63.83,1,Credit Card,Online,No,5,Store 5,Spain,22,Staff 22
T300001,12/30/23,12/30/23,01/09/24,01/04/24,completed,C101922,Diego Galli,26,Male,Antwerp,Belgium,P200274,Levi's Eco Dresse,Dresses,Maxi,Levi's,72.87,12.41,63.83,1,Credit Card,Online,No,5,Store 5,Spain,23,Staff 23
T300001,12/30/23,12/30/23,01/09/24,01/04/24,completed,C101922,Diego Galli,26,Male,Antwerp,Belgium,P200274,Levi's Eco Dresse,Dresses,Maxi,Levi's,72.87,12.41,63.83,1,Credit Card,Online,No,5,Store 5,Spain,24,Staff 24
T300001,12/30/23,12/30/23,01/09/24,01/04/24,completed,C101922,Diego Galli,26,Male,Antwerp,Belgium,P200274,Levi's Eco Dresse,Dresses,Maxi,Levi's,72.87,12.41,63.83,1,Credit Card,Online,No,5,Store 5,Spain,25,Staff 25
T300002,01/23/22,01/23/22,02/02/22,02/01/22,completed,C102912,Giulia Fontana,24,Female,Hamburg,Germany,P200128,Adidas Core Activewear,Activewear,Tracksuit,Adidas,82.67,25.33,61.73,2,Credit Card,Online,No,1,Store 1,Spain,1,Staff 1
T300002,01/23/22,01/23/22,02/02/22,02/01/22,completed,C102912,Giulia Fontana,24,Female,Hamburg,Germany,P200128,Adidas Core Activewear,Activewear,Tracksuit,Adidas,82.67,25.33,61.73,2,Credit Card,Online,No,1,Store 1,Spain,2,Staff 2
T300002,01/23/22,01/23/22,02/02/22,02/01/22,completed,C102912,Giulia Fontana,24,Female,Hamburg,Germany,P200128,Adidas Core Activewear,Activewear,Tracksuit,Adidas,82.67,25.33,61.73,2,Credit Card,Online,No,1,Store 1,Spain,3,Staff 3
T300002,01/23/22,01/23/22,02/02/22,02/01/22,completed,C102912,Giulia Fontana,24,Female,Hamburg,Germany,P200128,Adidas Core Activewear,Activewear,Tracksuit,Adidas,82.67,25.33,61.73,2,Credit Card,Online,No,1,Store 1,Spain,4,Staff 4
T300002,01/23/22,01/23/22,02/02/22,02/01/22,completed,C102912,Giulia Fontana,24,Female,Hamburg,Germany,P200128,Adidas Core Activewear,Activewear,Tracksuit,Adidas,82.67,25.33,61.73,2,Credit Card,Online,No,1,Store 1,Spain,5,Staff 5
T300003,08/10/24,08/10/24,08/11/24,08/14/24,completed,C100216,Sara Mancini,37,Male,Valencia,Spain,P200320,H&M Classic Accessorie,Accessories,Hat,H&M,60.02,4.42,57.37,1,PayPal,Online,No,2,Store 2,Italy,6,Staff 6
T300003,08/10/24,08/10/24,08/11/24,08/14/24,completed,C100216,Sara Mancini,37,Male,Valencia,Spain,P200320,H&M Classic Accessorie,Accessories,Hat,H&M,60.02,4.42,57.37,1,PayPal,Online,No,2,Store 2,Italy,7,Staff 7
T300003,08/10/24,08/10/24,08/11/24,08/14/24,completed,C100216,Sara Mancini,37,Male,Valencia,Spain,P200320,H&M Classic Accessorie,Accessories,Hat,H&M,60.02,4.42,57.37,1,PayPal,Online,No,2,Store 2,Italy,8,Staff 8
T300003,08/10/24,08/10/24,08/11/24,08/14/24,completed,C100216,Sara Mancini,37,Male,Valencia,Spain,P200320,H&M Classic Accessorie,Accessories,Hat,H&M,60.02,4.42,57.37,1,PayPal,Online,No,2,Store 2,Italy,9,Staff 9
T300003,08/10/24,08/10/24,08/11/24,08/14/24,completed,C100216,Sara Mancini,37,Male,Valencia,Spain,P200320,H&M Classic Accessorie,Accessories,Hat,H&M,60.02,4.42,57.37,1,PayPal,Online,No,2,Store 2,Italy,10,Staff 10
T300004,08/24/24,08/24/24,09/01/24,08/26/24,completed,C101294,Sofia Sanna,43,Female,Bologna,Italy,P200234,GAP Sport T-Shirt,T-Shirts,Graphic,GAP,23.33,9.72,21.06,1,Credit Card,Online,No,5,Store 5,Spain,21,Staff 21
T300004,08/24/24,08/24/24,09/01/24,08/26/24,completed,C101294,Sofia Sanna,43,Female,Bologna,Italy,P200234,GAP Sport T-Shirt,T-Shirts,Graphic,GAP,23.33,9.72,21.06,1,Credit Card,Online,No,5,Store 5,Spain,22,Staff 22
T300004,08/24/24,08/24/24,09/01/24,08/26/24,completed,C101294,Sofia Sanna,43,Female,Bologna,Italy,P200234,GAP Sport T-Shirt,T-Shirts,Graphic,GAP,23.33,9.72,21.06,1,Credit Card,Online,No,5,Store 5,Spain,23,Staff 23
T300004,08/24/24,08/24/24,09/01/24,08/26/24,completed,C101294,Sofia Sanna,43,Female,Bologna,Italy,P200234,GAP Sport T-Shirt,T-Shirts,Graphic,GAP,23.33,9.72,21.06,1,Credit Card,Online,No,5,Store 5,Spain,24,Staff 24
T300004,08/24/24,08/24/24,09/01/24,08/26/24,completed,C101294,Sofia Sanna,43,Female,Bologna,Italy,P200234,GAP Sport T-Shirt,T-Shirts,Graphic,GAP,23.33,9.72,21.06,1,Credit Card,Online,No,5,Store 5,Spain,25,Staff 25
T300005,11/15/21,11/15/21,11/22/21,11/25/21,completed,C102255,Valeria Galli,27,Male,Antwerp,Belgium,P200519,Mango Essential Shoe,Shoes,Sneakers,Mango,99,14.73,84.42,1,Credit Card,Store Branch,No,5,Store 5,Spain,21,Staff 21
T300005,11/15/21,11/15/21,11/22/21,11/25/21,completed,C102255,Valeria Galli,27,Male,Antwerp,Belgium,P200519,Mango Essential Shoe,Shoes,Sneakers,Mango,99,14.73,84.42,1,Credit Card,Store Branch,No,5,Store 5,Spain,22,Staff 22
T300005,11/15/21,11/15/21,11/22/21,11/25/21,completed,C102255,Valeria Galli,27,Male,Antwerp,Belgium,P200519,Mango Essential Shoe,Shoes,Sneakers,Mango,99,14.73,84.42,1,Credit Card,Store Branch,No,5,Store 5,Spain,23,Staff 23
T300005,11/15/21,11/15/21,11/22/21,11/25/21,completed,C102255,Valeria Galli,27,Male,Antwerp,Belgium,P200519,Mango Essential Shoe,Shoes,Sneakers,Mango,99,14.73,84.42,1,Credit Card,Store Branch,No,5,Store 5,Spain,24,Staff 24
T300005,11/15/21,11/15/21,11/22/21,11/25/21,completed,C102255,Valeria Galli,27,Male,Antwerp,Belgium,P200519,Mango Essential Shoe,Shoes,Sneakers,Mango,99,14.73,84.42,1,Credit Card,Store Branch,No,5,Store 5,Spain,25,Staff 25
T300006,07/17/23,07/17/23,07/25/23,07/20/23,rejected,C100974,Giovanni Mancini,43,Male,Zurich,Switzerland,P200509,Celio Essential Accessorie,Accessories,Belt,Celio,14.91,14.28,12.78,1,Credit Card,Online,No,1,Store 1,Spain,1,Staff 1
